,Left_Time,total_distance_x,Match-1,Match-2,left_time,work_time,to_dp_time,to_dp_distance,total_distance_y,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28
0,66.17174732648104,140.42276443970906,Temp_Route0,,66.17174732648104,413.82825267351893,59.52842213520532,23.058246245536438,140.42276443970906,안산-1431,안산-1627,안산-188,안산-191,안산-187,안산-1478,안산-1486,안산-1456,안산-1544,안산-1441,안산-1467,안산-1444,안산-1450,안산-1460,안산-1447, , , , , , , , , , , , , 
1,81.71110839975852,86.70963104282716,Temp_Route1,,81.71110839975852,398.28889160024147,59.52842213520532,23.058246245536438,86.70963104282716,안산-1533,안산-1617,안산-1613,안산-1612,안산-1554,안산-1433,안산-1619,안산-1559,안산-1563,안산-1594,안산-1585,안산-1580,안산-1570,안산-1607,안산-1606,안산-1603,안산-1605,안산-1560,안산-1602,안산-1516,안산-1508,안산-1523, , , , , , 
2,152.2389223913499,73.30470067154391,Temp_Route2,,152.2389223913499,327.7610776086501,61.30757788414494,24.09608709908455,73.30470067154391,안산-1070,안산-1035,안산-1059,안산-1076,안산-1061,안산-1054,안산-1051,안산-1094,안산-1055,안산-1079,안산-1078,안산-1083,안산-1096,안산-1371,안산-163,안산-154,안산-1229, , , , , , , , , , , 
3,211.4965956104105,79.26438758467135,Temp_Route3,,211.4965956104105,268.5034043895895,63.97784213880362,25.653741247635445,79.26438758467135,안산-973,안산-1023,안산-968,안산-983,안산-1026,안산-1317,안산-1322,안산-1063,안산-1107,안산-1030,안산-1073, , , , , , , , , , , , , , , , , 
4,229.67519207880022,79.75915479800581,Temp_Route4,,229.67519207880022,250.32480792119978,105.05265120348058,49.61404653536367,79.75915479800581,안산-665,안산-543,안산-720,안산-554,안산-620,안산-1707,안산-982,안산-995,안산-965, , , , , , , , , , , , , , , , , , , 
