,Temp_Route0,Temp_Route1,Temp_Route2,Temp_Route3,Temp_Route4,Temp_Route5,Temp_Route6,Temp_Route7,Temp_Route8,Temp_Route9,Temp_Route10,Temp_Route11,Temp_Route12,Temp_Route13,Temp_Route14,Temp_Route15,Temp_Route16,Temp_Route17,Temp_Route18,Temp_Route19,Temp_Route20,Temp_Route21,Temp_Route22,Temp_Route23,Temp_Route24,Temp_Route25,Temp_Route26,Temp_Route27,Temp_Route28,Temp_Route29,Temp_Route30,Temp_Route31,Temp_Route32,Temp_Route33,Temp_Route34,Temp_Route35,Temp_Route36,Temp_Route37
P7,안산-977,안산-167,안산-1340,안산-1120,안산-52,안산-416,안산-105,안산-1477,안산-1757,안산-1685,안산-502,안산-835,안산-356,안산-1484,안산-1106,안산-1580,안산-312,안산-1208,안산-1547,안산-264,안산-305,안산-1655,안산-38,안산-1123,안산-33,안산-21,안산-1174,안산-1375,안산-996,안산-1021,안산-1090,안산-1170, , , ,안산-1224, , 
P8,안산-991,안산-169,안산-1351,안산-1564,안산-17,안산-406,안산-131,안산-1473,안산-1754,안산-1674,안산-931,안산-837,안산-333,안산-1480,안산-1103,안산-1469,안산-311,안산-1203,안산-1621,안산-288,안산-290,안산-1658,안산-39,안산-1134,안산-13,안산-41,안산-1163,안산-1236,안산-965,안산-988,안산-1085,안산-1159, , , ,안산-1204, , 
P9,안산-967,안산-172,안산-1339,안산-1609,안산-81,안산-429,안산-129,안산-1500,안산-1744,안산-1676,안산-930,안산-855,안산-366,안산-1458,안산-1052,안산-1455,안산-755,안산-1220,안산-1553,안산-298,안산-291,안산-1659,안산-16,안산-1112,안산-54,안산-61,안산-1179,안산-1212,안산-972, ,안산-1074,안산-1144, , , ,안산-1225, , 
P10,안산-1024,안산-193,안산-1359,안산-1575,안산-26,안산-407, ,안산-1495,안산-1762,안산-1313,안산-933,안산-856,안산-353,안산-1448,안산-1101,안산-1466,안산-749,안산-1217,안산-1554,안산-254,안산-307, ,안산-47,안산-1132, , ,안산-1172,안산-1209,안산-990, ,안산-1034,안산-1183, , , , , , 
P11,안산-975,안산-184,안산-1352,안산-1601,안산-34,안산-424, ,안산-1486,안산-1749,안산-1302,안산-944,안산-854,안산-331,안산-1468,안산-1066,안산-1464,안산-313,안산-1198,안산-1552,안산-1129,안산-301, ,안산-66,안산-1137, , ,안산-1165, , , ,안산-1038, , , , , , , 
P12,안산-970,안산-177,안산-1327,안산-1574,안산-73,안산-426, ,안산-1503,안산-1726,안산-1293,안산-929,안산-843,안산-364,안산-1452,안산-1048,안산-1446,안산-745,안산-156,안산-1561,안산-1135,안산-255, , ,안산-1130, , , , , , , , , , , , , , 
P13,안산-1366,안산-188,안산-1319,안산-1573,안산-318,안산-405, ,안산-1471,안산-1748,안산-1316,안산-898,안산-841,안산-357,안산-1540,안산-1092,안산-1462,안산-743,안산-152,안산-1546,안산-1108,안산-294, , ,안산-1156, , , , , , , , , , , , , , 
P14,안산-1358,안산-192,안산-1357,안산-1598,안산-956,안산-408, ,안산-1494,안산-1715,안산-1305,안산-936,안산-830,안산-438,안산-1544,안산-1042,안산-1447,안산-326,안산-159,안산-1557,안산-1583,안산-270, , ,안산-1184, , , , , , , , , , , , , , 
P15,안산-1330,안산-186,안산-1364,안산-1506,안산-315,안산-96, ,안산-1496,안산-1764,안산-1291,안산-842,안산-832,안산-440,안산-1476,안산-1056,안산-1439,안산-763,안산-160,안산-1549,안산-1603,안산-300, , , , , , , , , , , , , , , , , 
P16,안산-1360,안산-181,안산-1043,안산-1548,안산-961,안산-95, ,안산-1497,안산-1763,안산-1310,안산-937,안산-844,안산-436,안산-1531,안산-1098,안산-1438,안산-759,안산-161, ,안산-1518,안산-296, , , , , , , , , , , , , , , , , 
P17,안산-1318,안산-179,안산-1064,안산-1591,안산-950,안산-100, ,안산-1505,안산-1724,안산-1294,안산-809,안산-857,안산-437,안산-1541,안산-1100,안산-1461, ,안산-165, ,안산-1521,안산-269, , , , , , , , , , , , , , , , , 
P18,안산-1350, ,안산-1088,안산-1582,안산-325,안산-98, ,안산-1472, ,안산-1312, ,안산-860,안산-449,안산-1542,안산-1078,안산-271, , , , ,안산-303, , , , , , , , , , , , , , , , , 
P19,안산-1341, ,안산-1041,안산-1577,안산-322,안산-86, ,안산-1490, ,안산-1306, ,안산-827,안산-448,안산-1535,안산-1079,안산-263, , , , ,안산-259, , , , , , , , , , , , , , , , , 
P20,안산-1329, ,안산-1069,안산-1566,안산-953,안산-434, , , ,안산-1308, , ,안산-1207,안산-1465, ,안산-257, , , , , , , , , , , , , , , , , , , , , , 
P21,안산-1337, ,안산-1031,안산-1565,안산-329,안산-762, , , ,안산-1309, , ,안산-1245, , , , , , , , , , , , , , , , , , , , , , , , , 
P22,안산-1062, , , ,안산-764,안산-287, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P23,안산-1105, , , ,안산-320,안산-282, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P24,안산-1082, , , ,안산-741, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
P31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
