,Left_Time,total_distance_x,Match-1,Match-2,left_time,work_time,to_dp_time,to_dp_distance,total_distance_y,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
0,39.499496829772674,130.81104511205902,Temp_Route0,,39.499496829772674,440.5005031702273,38.23350200755074,10.636209504404595,130.81104511205902,안산-1672,안산-1760,안산-1744,안산-1737,안산-1037,안산-1087,안산-165,안산-155,안산-1201,안산-1214,안산-1224,안산-1219,안산-1232,안산-1140,안산-1110,안산-1118,안산-1156,안산-1180,안산-1143,안산-1150, , , , , 
1,59.63082532706483,95.04628513067054,Temp_Route1,,59.63082532706483,420.3691746729352,40.11781010436742,11.735389227547664,95.04628513067054,안산-428,안산-442,안산-92,안산-262,안산-297,안산-1457,안산-1449,안산-1451,안산-1440,안산-1468,안산-1538,안산-1587,안산-1581,안산-1604,안산-1569,안산-1571,안산-1548,안산-1516,안산-1608,안산-1576,안산-1115,안산-1119,안산-1121, , 
2,132.2842308126752,127.00086535927285,Temp_Route2,,132.2842308126752,347.7157691873248,63.72009338609686,25.503387808556504,127.00086535927285,안산-1767,안산-1716,안산-1728,안산-1731,안산-1161,안산-1157,안산-1171,안산-1166,안산-1433, , , , , , , , , , , , , , , , 
3,134.4171810628337,84.9233110466804,Temp_Route3,,134.4171810628337,345.5828189371663,60.24983999688946,23.479073331518855,84.9233110466804,안산-584,안산-800,안산-529,안산-789,안산-777,안산-796,안산-781,안산-750,안산-327,안산-314,안산-324,안산-958,안산-952,안산-295,안산-256,안산-285,안산-272, , , , , , , , 
4,174.42229308798625,101.0528915607715,Temp_Route4,,174.42229308798625,305.57770691201375,57.63300855173245,21.95258832184393,101.0528915607715,안산-1702,안산-576,안산-641,안산-83,안산-1247,안산-1209,안산-1210,안산-1197,안산-1216,안산-162, , , , , , , , , , , , , , , 
