,Temp_Route0,Temp_Route1
left_time,237.56671275654287,454.7206489153359
work_time,242.43328724345713,25.279351084664086
to_dp_time,97.97868683804194,35.279351084664064
to_dp_distance,45.48756732219113,8.912954799387371
total_distance,88.34051197292611,8.912954799387371
P1,안산-1639,안산-1117
P2,안산-48, 
P3,안산-59, 
P4,안산-32, 
P5,안산-44, 
P6,안산-50, 
P7, , 
P8, , 
P9, , 
P10, , 
P11, , 
P12, , 
P13, , 
P14, , 
P15, , 
P16, , 
P17, , 
P18, , 
P19, , 
P20, , 
P21, , 
P22, , 
P23, , 
P24, , 
